symbol,session_date,side,entry_ts,entry_price,stop,target,exit_ts,exit_price,exit_reason,minutes_since_open_at_entry,tod_bucket_at_entry,r_multiple,pnl_bps
MSFT,2026-06-24,short,2026-06-24 10:00:00-04:00,374.31,381.63,370.67,2026-06-24 13:31:00-04:00,370.67,target,30,sneaky_window_15_45,0.49726775956284014,91.24559856803148
MSFT,2026-06-25,long,2026-06-25 10:16:00-04:00,358.66,364.15,378.88,2026-06-25 10:17:00-04:00,364.15,stop,46,mid_morning_45_120,,147.0697596609589
MSFT,2026-06-29,short,2026-06-29 10:32:00-04:00,375.05,378.88,355.43,2026-06-29 15:59:00-04:00,368.48,eod,62,mid_morning_45_120,1.7154046997389087,169.17664311425125
MSFT,2026-07-06,long,2026-07-06 11:11:00-04:00,385.75,374.89,392.2,2026-07-06 15:59:00-04:00,386.88,eod,101,mid_morning_45_120,0.10405156537753169,23.29358392741401
MSFT,2026-07-07,short,2026-07-07 10:54:00-04:00,391.5,392.2,381.22,2026-07-07 10:55:00-04:00,392.2,stop,84,mid_morning_45_120,-1.0,-23.87994891443138
MSFT,2026-07-09,long,2026-07-09 11:00:00-04:00,379.32,381.22,385.31,2026-07-09 11:01:00-04:00,381.22,stop,90,mid_morning_45_120,,44.089634082042444
MSFT,2026-07-10,short,2026-07-10 10:00:00-04:00,384.76,385.31,373.35,2026-07-10 10:09:00-04:00,385.31,stop,30,sneaky_window_15_45,-1.0,-20.294625220917233
MSFT,2026-07-14,long,2026-07-14 10:00:00-04:00,385.27,381.5,393.65,2026-07-14 15:59:00-04:00,384.94,eod,30,sneaky_window_15_45,-0.08753315649866994,-14.565421652347291
MSFT,2026-07-27,short,2026-07-27 10:31:00-04:00,390.17,391.78,380.65,2026-07-27 11:06:00-04:00,391.78,stop,61,mid_morning_45_120,-1.0,-47.264064382191265
NVDA,2026-02-11,short,2026-02-11 10:00:00-05:00,191.17,193.66,188.12,2026-02-11 15:59:00-05:00,190.04,eod,30,sneaky_window_15_45,0.45381526104417325,53.10969294345323
NVDA,2026-02-12,short,2026-02-12 10:00:00-05:00,191.22,193.66,188.77,2026-02-12 11:16:00-05:00,188.77,target,30,sneaky_window_15_45,1.0040983606557339,122.12467315134342
NVDA,2026-02-13,long,2026-02-13 10:27:00-05:00,184.11,183.93,193.61,2026-02-13 10:39:00-05:00,183.93,stop,57,mid_morning_45_120,-1.0,-15.776763891152399
