date,coin,entry_price,exit_price,pnl_pct,exit_reason,hold_hours
2026-02-27 17:00,SOL/USD,83.106,81.02835,-2.9863,stop_loss,4.0
2026-02-27 22:00,WIF/USD,0.20669,0.201523,-2.9863,stop_loss,11.0
2026-02-28 07:00,RENDER/USD,1.31445,1.360456,2.9838,take_profit,1.0
2026-02-28 10:00,RENDER/USD,1.334475,1.301113,-2.9863,stop_loss,3.0
2026-02-28 11:00,WIF/USD,0.188366,0.183657,-2.9863,stop_loss,5.0
2026-02-28 13:00,WIF/USD,0.18373,0.190161,2.9838,take_profit,2.0
2026-02-28 14:00,ARB/USD,0.091425,0.094625,2.9838,take_profit,3.0
2026-02-28 19:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,13.0
2026-02-28 19:00,WIF/USD,0.18425,0.190699,2.9838,take_profit,2.0
2026-03-01 20:00,WIF/USD,0.19054,0.185776,-2.9863,stop_loss,3.0
2026-03-02 00:00,WIF/USD,0.185572,0.192067,2.9838,take_profit,4.0
2026-03-02 00:00,RENDER/USD,1.31535,1.361387,2.9838,take_profit,4.0
2026-03-02 01:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,6.0
2026-03-05 20:00,WIF/USD,0.209569,0.216904,2.9838,take_profit,4.0
2026-03-05 21:00,RENDER/USD,1.35634,1.403812,2.9838,take_profit,5.0
2026-03-06 09:00,WIF/USD,0.205042,0.199916,-2.9863,stop_loss,1.0
2026-03-06 13:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,21.0
2026-03-06 13:00,WIF/USD,0.20075,0.195731,-2.9863,stop_loss,4.0
2026-03-06 15:00,WIF/USD,0.192504,0.187691,-2.9863,stop_loss,1.0
2026-03-07 11:00,WIF/USD,0.187849,0.183153,-2.9863,stop_loss,20.0
2026-03-07 18:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,28.0
2026-03-08 02:00,WIF/USD,0.17878,0.17431,-2.9863,stop_loss,14.0
2026-03-08 13:00,RENDER/USD,1.363855,1.35965,-0.8055,timeout,48.0
2026-03-10 14:00,WIF/USD,0.17104,0.166764,-2.9863,stop_loss,15.0
2026-03-11 12:00,WIF/USD,0.16304,0.168746,2.9838,take_profit,15.0
2026-03-18 11:00,RENDER/USD,1.8184,1.77294,-2.9863,stop_loss,23.0
2026-03-18 12:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,1.0
2026-03-18 13:00,WIF/USD,0.181636,0.177095,-2.9863,stop_loss,2.0
2026-03-18 14:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,2.0
2026-03-18 15:00,ARB/USD,0.1032,0.10062,-2.9863,stop_loss,3.0
2026-03-18 16:00,WIF/USD,0.178815,0.174345,-2.9863,stop_loss,3.0
2026-03-19 11:00,RENDER/USD,1.7075,1.664813,-2.9863,stop_loss,20.0
2026-03-19 12:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,22.0
2026-03-20 00:00,RENDER/USD,1.6409,1.698331,2.9838,take_profit,11.0
2026-03-22 00:00,WIF/USD,0.174095,0.169743,-2.9863,stop_loss,1.0
2026-03-22 03:00,WIF/USD,0.173345,0.169011,-2.9863,stop_loss,3.0
2026-03-22 03:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,3.0
2026-03-22 10:00,ARB/USD,0.096255,0.093849,-2.9863,stop_loss,11.0
2026-03-23 01:00,WIF/USD,0.168644,0.174547,2.9838,take_profit,4.0
2026-03-23 11:00,RENDER/USD,1.586245,1.641764,2.9838,take_profit,2.0
2026-03-26 09:00,ARB/USD,0.09545,0.093064,-2.9863,stop_loss,4.0
2026-03-26 18:00,RENDER/USD,1.7796,1.73511,-2.9863,stop_loss,13.0
2026-03-27 13:00,WIF/USD,0.175527,0.171139,-2.9863,stop_loss,3.0
2026-03-27 15:00,RENDER/USD,1.69736,1.756768,2.9838,take_profit,5.0
2026-03-28 15:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,29.0
2026-03-31 17:00,SOL/USD,80.45955,83.275634,2.9838,take_profit,8.0
2026-04-02 01:00,SOL/USD,81.84625,79.800094,-2.9863,stop_loss,4.0
2026-04-02 05:00,WIF/USD,0.177389,0.172954,-2.9863,stop_loss,4.0
2026-04-02 13:00,SOL/USD,79.3286,77.345385,-2.9863,stop_loss,12.0
2026-04-03 16:00,AVAX/USD,8.803355,9.111472,2.9838,take_profit,38.0
2026-04-07 09:00,RENDER/USD,1.8615,1.926652,2.9838,take_profit,11.0
2026-04-07 10:00,WIF/USD,0.1801,0.175598,-2.9863,stop_loss,12.0
2026-04-07 15:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,17.0
2026-04-12 02:00,WIF/USD,0.1904,0.18564,-2.9863,stop_loss,1.0
2026-04-12 09:00,RENDER/USD,1.94305,1.894474,-2.9863,stop_loss,8.0
2026-04-12 12:00,WIF/USD,0.19058,0.185815,-2.9863,stop_loss,10.0
2026-04-13 09:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,32.0
2026-04-15 01:00,RENDER/USD,1.83451,1.898718,2.9838,take_profit,7.0
2026-04-15 04:00,WIF/USD,0.1908,0.18603,-2.9863,stop_loss,10.0
2026-04-15 04:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,10.0
2026-04-17 10:00,RENDER/USD,1.8345,1.898707,2.9838,take_profit,5.0
2026-04-18 18:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,8.0
2026-04-18 18:00,WIF/USD,0.207373,0.202189,-2.9863,stop_loss,7.0
2026-04-19 07:00,ARB/USD,0.12844,0.125229,-2.9863,stop_loss,21.0
2026-04-20 12:00,ARB/USD,0.1244,0.128754,2.9838,take_profit,18.0
2026-04-20 15:00,WIF/USD,0.1945,0.201308,2.9838,take_profit,16.0
2026-04-21 20:00,WIF/USD,0.192378,0.199111,2.9838,take_profit,1.0
2026-04-22 04:00,ARB/USD,0.123896,0.128232,2.9838,take_profit,9.0
2026-04-23 00:00,WIF/USD,0.189478,0.19611,2.9838,take_profit,1.0
2026-04-23 02:00,WIF/USD,0.18539,0.180755,-2.9863,stop_loss,1.0
2026-04-23 12:00,WIF/USD,0.1807,0.187024,2.9838,take_profit,10.0
2026-04-24 00:00,ARB/USD,0.125207,0.12959,2.9838,take_profit,22.0
2026-04-27 15:00,ARB/USD,0.12752,0.124332,-2.9863,stop_loss,10.0
2026-04-27 15:00,WIF/USD,0.176241,0.18241,2.9838,take_profit,8.0
2026-04-29 06:00,BONK/USD,6e-06,6e-06,0.9445,timeout,48.0
