strategy,month,position,fwd_return,pnl
arbitrage_trust_price,2017-12-01,1.0,0.05635964285435868,0.05635964285435868
buy_hold,2018-01-01,1.0,-0.03636039821870052,-0.03636039821870052
price_math_only,2018-01-01,1.0,-0.03636039821870052,-0.03636039821870052
web_sentiment_only,2018-01-01,0.0,-0.03636039821870052,-0.0
wisdom_aligned,2018-01-01,0.5,-0.03636039821870052,-0.01818019910935026
arbitrage_trust_price,2018-01-01,1.0,-0.03636039821870052,-0.03636039821870052
buy_hold,2018-02-01,1.0,-0.02741056859177149,-0.02741056859177149
price_math_only,2018-02-01,0.0,-0.02741056859177149,-0.0
web_sentiment_only,2018-02-01,0.0,-0.02741056859177149,-0.0
wisdom_aligned,2018-02-01,0.0,-0.02741056859177149,-0.0
arbitrage_trust_price,2018-02-01,0.0,-0.02741056859177149,-0.0
buy_hold,2018-03-01,1.0,0.005168321330019321,0.005168321330019321
price_math_only,2018-03-01,0.0,0.005168321330019321,0.0
web_sentiment_only,2018-03-01,0.0,0.005168321330019321,0.0
wisdom_aligned,2018-03-01,0.0,0.005168321330019321,0.0
arbitrage_trust_price,2018-03-01,0.0,0.005168321330019321,0.0
buy_hold,2018-04-01,1.0,0.02430894533441208,0.02430894533441208
price_math_only,2018-04-01,1.0,0.02430894533441208,0.02430894533441208
web_sentiment_only,2018-04-01,0.0,0.02430894533441208,0.0
wisdom_aligned,2018-04-01,0.5,0.02430894533441208,0.01215447266720604
arbitrage_trust_price,2018-04-01,0.5,0.02430894533441208,0.01215447266720604
buy_hold,2018-05-01,1.0,0.005750519163564283,0.005750519163564283
price_math_only,2018-05-01,1.0,0.005750519163564283,0.005750519163564283
web_sentiment_only,2018-05-01,0.0,0.005750519163564283,0.0
wisdom_aligned,2018-05-01,0.5,0.005750519163564283,0.0028752595817821414
arbitrage_trust_price,2018-05-01,0.5,0.005750519163564283,0.0028752595817821414
buy_hold,2018-06-01,1.0,0.03704660764800849,0.03704660764800849
price_math_only,2018-06-01,0.0,0.03704660764800849,0.0
web_sentiment_only,2018-06-01,1.0,0.03704660764800849,0.03704660764800849
wisdom_aligned,2018-06-01,0.5,0.03704660764800849,0.018523303824004245
arbitrage_trust_price,2018-06-01,0.5,0.03704660764800849,0.018523303824004245
buy_hold,2018-07-01,1.0,0.031919746703864105,0.031919746703864105
price_math_only,2018-07-01,1.0,0.031919746703864105,0.031919746703864105
web_sentiment_only,2018-07-01,0.0,0.031919746703864105,0.0
wisdom_aligned,2018-07-01,0.5,0.031919746703864105,0.015959873351932052
arbitrage_trust_price,2018-07-01,0.5,0.031919746703864105,0.015959873351932052
buy_hold,2018-08-01,1.0,0.005945863368777893,0.005945863368777893
price_math_only,2018-08-01,1.0,0.005945863368777893,0.005945863368777893
web_sentiment_only,2018-08-01,1.0,0.005945863368777893,0.005945863368777893
