month,best_sim_mode,recommendation,baseline_return_pct,web_regime_return_pct,arbitrage_return_pct,wisdom_pause_return_pct
2019-02,wisdom_pause,Stay on arbitrage — within 2% of best sim mode wisdom_pause (+2.4% vs +2.5%).,2.42,2.5,2.42,2.54
2019-03,wisdom_pause,Stay on arbitrage — within 2% of best sim mode wisdom_pause (+4.2% vs +4.2%).,4.18,4.08,4.18,4.22
2019-04,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+2.1% vs +2.1%).,2.07,1.96,2.07,2.06
2019-05,baseline,Stay on arbitrage — within 2% of best sim mode baseline (-8.2% vs -8.2%).,-8.15,-8.31,-8.15,-8.41
2019-06,wisdom_pause,Stay on arbitrage — within 2% of best sim mode wisdom_pause (+11.2% vs +11.2%).,11.15,11.2,11.15,11.24
2019-07,web_regime,Stay on arbitrage — within 2% of best sim mode web_regime (+1.3% vs +1.4%).,1.29,1.38,1.29,1.37
2019-08,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+0.3% vs +0.3%).,0.29,0.25,0.29,0.29
2019-09,web_regime,Stay on arbitrage — within 2% of best sim mode web_regime (+0.1% vs +0.2%).,0.09,0.17,0.09,0.16
2019-10,web_regime,Stay on arbitrage — within 2% of best sim mode web_regime (+9.9% vs +9.9%).,9.87,9.94,9.87,9.92
2019-11,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+5.4% vs +5.4%).,5.39,5.35,5.39,5.38
