date,variant,coin,rsi_at_entry,position_pct,entry_price,exit_price,pnl_pct,exit_reason,hold_hours
2026-05-14 03:00,vCurrent,WIF/USD,,5.0,0.21837,0.212911,-2.9863,stop_loss,13.0
2026-05-14 19:00,vCurrent,AVAX/USD,,5.0,9.762,10.10367,2.9838,take_profit,30.0
2026-05-22 19:00,vCurrent,RENDER/USD,,5.0,1.930765,1.882496,-2.9863,stop_loss,1.0
2026-05-29 14:00,vCurrent,RENDER/USD,,5.0,1.97233,2.041362,2.9838,take_profit,1.0
2026-05-29 15:00,vCurrent,RENDER/USD,,5.0,1.9786,2.047851,2.9838,take_profit,1.0
2026-05-30 05:00,vCurrent,RENDER/USD,,5.0,1.954,2.02239,2.9838,take_profit,8.0
2026-05-31 21:00,vCurrent,RENDER/USD,,5.0,2.0135,2.083972,2.9838,take_profit,5.0
2026-06-01 14:00,vCurrent,RENDER/USD,,5.0,1.98018,2.049486,2.9838,take_profit,1.0
2026-06-01 15:00,vCurrent,RENDER/USD,,5.0,1.9625,2.031187,2.9838,take_profit,1.0
2026-06-02 15:00,vCurrent,WIF/USD,,5.0,0.18131,0.176777,-2.9863,stop_loss,1.0
2026-06-02 15:00,vCurrent,BONK/USD,,5.0,5e-06,5e-06,-2.9863,stop_loss,1.0
2026-06-02 19:00,vCurrent,RENDER/USD,,5.0,2.060975,2.009451,-2.9863,stop_loss,1.0
2026-06-04 21:00,vCurrent,RENDER/USD,,5.0,1.9246,1.876485,-2.9863,stop_loss,1.0
2026-06-05 01:00,vCurrent,WIF/USD,,5.0,0.165364,0.16123,-2.9863,stop_loss,4.0
2026-06-05 03:00,vCurrent,BONK/USD,,5.0,5e-06,5e-06,-2.9863,stop_loss,6.0
2026-06-07 22:00,vCurrent,RENDER/USD,,5.0,1.61107,1.667457,2.9838,take_profit,3.0
2026-06-09 16:00,vCurrent,RENDER/USD,,5.0,1.5846,1.640061,2.9838,take_profit,1.0
2026-06-10 06:00,vCurrent,WIF/USD,,5.0,0.15327,0.158634,2.9838,take_profit,14.0
2026-06-10 06:00,vCurrent,RENDER/USD,,5.0,1.5911,1.646788,2.9838,take_profit,14.0
2026-06-10 21:00,vCurrent,AVAX/USD,,5.0,6.516,6.3531,-2.9863,stop_loss,29.0
2026-06-16 04:00,vCurrent,RENDER/USD,,5.0,1.780915,1.7665,-1.3041,eod_liquidation,9.0
2025-08-14 21:00,vImproved_v3,SOL/USD,38.55,7.0,195.0285,190.152788,-2.9863,stop_loss,8.0
2025-08-14 21:00,vImproved_v3,AVAX/USD,33.05,5.0,23.96035,23.361341,-2.9863,stop_loss,8.0
