date,ticker,entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,hold_minutes,was_gap,was_cooldown
2026-05-12,GS,2026-05-05T10:05:00-04:00,2026-05-12T10:05:00-04:00,914.68,933.31,2.0368,max_hold,1950.0,False,False
2026-05-12,AMD,2026-05-11T10:05:00-04:00,2026-05-12T10:25:00-04:00,459.4,446.575,-2.7917,stop_loss,410.0,False,False
2026-05-15,AAPL,2026-05-08T10:05:00-04:00,2026-05-15T10:05:00-04:00,292.96,297.68,1.6111,max_hold,1950.0,False,False
2026-05-18,CVX,2026-05-12T10:05:00-04:00,2026-05-18T10:45:00-04:00,185.575,193.4,4.2166,take_profit,1600.0,False,False
2026-05-19,AMZN,2026-05-18T10:45:00-04:00,2026-05-19T09:30:00-04:00,267.75,260.755,-2.6125,stop_loss,315.0,False,False
2026-05-19,NFLX,2026-05-15T10:05:00-04:00,2026-05-19T10:00:00-04:00,87.74,91.26,4.0119,take_profit,775.0,False,False
2026-05-19,JNJ,2026-05-12T10:25:00-04:00,2026-05-19T10:25:00-04:00,224.125,229.9,2.5767,max_hold,1950.0,False,False
2026-05-22,AAPL,2026-05-19T10:05:00-04:00,2026-05-22T10:55:00-04:00,298.37,310.33,4.0084,take_profit,1220.0,False,False
2026-05-26,COIN,2026-05-19T10:25:00-04:00,2026-05-26T09:40:00-04:00,189.58,184.5099,-2.6744,stop_loss,1515.0,False,False
2026-05-27,BAC,2026-05-19T10:05:00-04:00,2026-05-27T10:05:00-04:00,50.985,51.695,1.3926,max_hold,1950.0,False,False
2026-05-27,CRM,2026-05-27T10:05:00-04:00,2026-05-27T13:20:00-04:00,182.9758,178.195,-2.6128,stop_loss,195.0,False,False
2026-06-01,AMZN,2026-05-27T13:20:00-04:00,2026-06-01T09:35:00-04:00,270.66,263.295,-2.7211,stop_loss,945.0,False,False
2026-06-01,GS,2026-05-22T10:55:00-04:00,2026-06-01T10:55:00-04:00,997.51,1028.49,3.1057,max_hold,1950.0,False,False
2026-06-02,AAPL,2026-05-26T10:05:00-04:00,2026-06-02T10:05:00-04:00,311.11,308.84,-0.7296,max_hold,1950.0,False,False
2026-06-02,GS,2026-06-01T10:55:00-04:00,2026-06-02T11:15:00-04:00,1028.49,1072.64,4.2927,take_profit,410.0,False,False
2026-06-04,BAC,2026-06-01T10:05:00-04:00,2026-06-04T11:20:00-04:00,51.73,53.825,4.0499,take_profit,1245.0,False,False
2026-06-05,JNJ,2026-06-02T11:15:00-04:00,2026-06-05T11:20:00-04:00,224.13,233.135,4.0178,take_profit,1175.0,False,False
2026-06-05,AMZN,2026-06-04T11:20:00-04:00,2026-06-05T14:15:00-04:00,254.77,248.3,-2.5395,stop_loss,565.0,False,False
2026-06-09,AAPL,2026-06-02T10:05:00-04:00,2026-06-09T09:30:00-04:00,308.84,297.975,-3.518,stop_loss,1915.0,False,False
2026-06-09,AMZN,2026-06-09T10:05:00-04:00,2026-06-09T11:40:00-04:00,248.755,242.465,-2.5286,stop_loss,95.0,False,False
2026-06-12,JPM,2026-06-05T11:20:00-04:00,2026-06-12T11:20:00-04:00,312.91,321.22,2.6557,max_hold,1950.0,False,False
2026-06-12,CVX,2026-06-05T14:15:00-04:00,2026-06-12T14:15:00-04:00,188.36,187.5,-0.4566,max_hold,1950.0,False,False
2026-06-16,JNJ,2026-06-09T11:40:00-04:00,2026-06-16T11:40:00-04:00,234.355,234.54,0.0789,max_hold,1950.0,False,False
2026-06-17,GS,2026-06-12T14:15:00-04:00,2026-06-17T09:45:00-04:00,1065.08,1107.72,4.0035,take_profit,900.0,False,False
2026-06-17,KTOS,2026-06-17T10:05:00-04:00,2026-06-17T15:35:00-04:00,57.925,56.31,-2.7881,stop_loss,330.0,False,False
2026-06-18,LNG,2026-06-17T15:35:00-04:00,2026-06-18T09:45:00-04:00,231.3,224.31,-3.022,stop_loss,40.0,False,False
2026-06-22,AMZN,2026-06-18T10:05:00-04:00,2026-06-22T11:15:00-04:00,239.44,233.355,-2.5413,stop_loss,460.0,False,False
2026-06-22,BAC,2026-06-12T11:20:00-04:00,2026-06-22T11:20:00-04:00,56.04,57.505,2.6142,max_hold,1950.0,False,False
2026-06-23,AMD,2026-06-22T11:15:00-04:00,2026-06-23T09:30:00-04:00,546.1101,517.8,-5.184,stop_loss,285.0,False,False
2026-06-24,AAPL,2026-06-16T11:40:00-04:00,2026-06-24T11:40:00-04:00,298.085,298.17,0.0285,max_hold,1950.0,False,False
2026-06-25,AMZN,2026-06-23T10:05:00-04:00,2026-06-25T09:30:00-04:00,235.69,226.23,-4.0137,stop_loss,745.0,False,False
2026-06-25,AAPL,2026-06-24T11:40:00-04:00,2026-06-25T09:30:00-04:00,298.17,285.66,-4.1956,stop_loss,260.0,False,False
2026-06-26,GS,2026-06-25T10:05:00-04:00,2026-06-26T09:30:00-04:00,1088.69,1034.09,-5.0152,stop_loss,355.0,False,False
2026-06-29,NFLX,2026-06-25T10:05:00-04:00,2026-06-29T09:45:00-04:00,72.53,75.435,4.0052,take_profit,760.0,False,False
2026-06-29,BAC,2026-06-22T11:20:00-04:00,2026-06-29T11:20:00-04:00,57.505,58.14,1.1043,max_hold,1950.0,False,False
2026-06-30,CRM,2026-06-29T10:05:00-04:00,2026-06-30T09:35:00-04:00,159.91,155.72,-2.6202,stop_loss,360.0,False,False
2026-06-30,AAPL,2026-06-26T10:05:00-04:00,2026-06-30T11:35:00-04:00,277.89,289.045,4.0142,take_profit,870.0,False,False
2026-06-30,AMD,2026-06-30T10:05:00-04:00,2026-06-30T11:55:00-04:00,555.345,577.59,4.0056,take_profit,110.0,False,False
2026-07-01,AMZN,2026-06-29T11:20:00-04:00,2026-07-01T09:40:00-04:00,242.63,236.25,-2.6295,stop_loss,680.0,False,False
2026-07-02,AAPL,2026-06-30T11:55:00-04:00,2026-07-02T09:40:00-04:00,288.73,300.35,4.0245,take_profit,645.0,False,False
2026-07-07,GOOGL,2026-06-30T11:35:00-04:00,2026-07-07T09:40:00-04:00,356.14,371.5616,4.3302,take_profit,1445.0,False,False
2026-07-07,AMZN,2026-07-01T10:05:00-04:00,2026-07-07T09:50:00-04:00,238.795,248.61,4.1102,take_profit,1155.0,False,False
2026-07-07,CRM,2026-07-02T10:05:00-04:00,2026-07-07T12:35:00-04:00,164.96,171.6,4.0252,take_profit,930.0,False,False
2026-07-08,BAC,2026-07-07T10:05:00-04:00,2026-07-08T10:15:00-04:00,60.52,58.935,-2.619,stop_loss,400.0,False,False
2026-07-09,AMZN,2026-07-07T10:05:00-04:00,2026-07-09T09:30:00-04:00,246.345,240.09,-2.5391,stop_loss,745.0,False,False
2026-07-09,AAPL,2026-07-07T12:35:00-04:00,2026-07-09T15:55:00-04:00,313.8101,316.17,0.752,eod_liquidation,980.0,False,False
2026-07-09,LNG,2026-07-08T10:15:00-04:00,2026-07-09T15:55:00-04:00,255.16,261.28,2.3985,eod_liquidation,730.0,False,False
2026-07-09,BAC,2026-07-09T10:05:00-04:00,2026-07-09T15:55:00-04:00,58.83,59.235,0.6884,eod_liquidation,350.0,False,False
