ts_ct,qty_sold,px,qty_before,vti_val,equity,cash,cash_pct,vti_pct,sell_notional,kind,heuristic,would_skip_cash_need,cycle_lag_hours,cycle_stale,order_id
2026-06-16 14:32:41,79.997,370.95,220.333,81733,98900.0,29715.0,30.0,82.6,29675.14,cash_unused,cash_unused,True,0.006,False,a9edddae-897d-4adf-b2bd-70b42dee64c6
2026-06-16 14:34:04,79.996,370.76,220.348,81696,98909.0,29722.0,30.1,82.6,29659.5,cash_unused,cash_unused,True,0.01,False,28ffd43a-eb32-4e47-bc1b-933c50e5468c
2026-06-16 14:34:58,80.023,370.64,220.379,81681,98877.0,29706.0,30.0,82.6,29659.78,cash_unused,cash_unused,True,0.006,False,1e900675-b207-4a0c-a3b5-f11d062ef39e
2026-06-16 14:35:54,80.001,370.67,220.333,81672,98882.0,29700.0,30.0,82.6,29654.1,cash_unused,cash_unused,True,0.003,False,9447b464-724b-441f-9d2b-dc4d9fd3b60b
2026-06-16 14:36:49,80.021,370.6,220.359,81665,98834.0,29696.0,30.0,82.6,29655.6,cash_unused,cash_unused,True,0.001,False,851bc9c0-ac4b-403e-a9b4-070e6efb597c
2026-06-16 14:37:51,77.975,370.65,220.361,81677,98834.0,29696.0,30.0,82.6,28901.59,cash_unused,cash_unused,True,0.018,False,5ce51e4e-6f15-48bf-92b7-2b934aa8015a
2026-06-16 14:55:18,80.012,370.56,220.36,81656,98844.0,-1499.0,-1.5,82.6,29648.96,cash_tight,cash_tight,False,0.0,False,f0418bc6-f088-4016-91f2-1846f6131951
2026-06-16 14:56:08,80.023,370.66,220.359,81678,98844.0,-1499.0,-1.5,82.6,29661.37,cash_tight,cash_tight,False,0.014,False,865e001c-fe0a-4626-8981-d1b71548811f
2026-06-16 14:56:58,80.025,370.51,220.391,81657,98849.0,-1504.0,-1.5,82.6,29649.9,cash_tight,cash_tight,False,0.014,False,faf099f7-2e58-414c-9f06-081482928a7a
2026-06-16 14:58:37,80.034,370.4,220.431,81648,98802.0,28141.0,28.5,82.6,29644.58,cash_tight,cash_tight,False,0.014,False,6ea7ac0d-70f4-4421-b50d-8ff314b76023
2026-06-16 14:59:28,80.021,370.24,220.408,81604,98816.0,-1510.0,-1.5,82.6,29626.97,cash_tight,cash_tight,False,0.013,False,76ea0d4f-a6ec-4596-835a-26c257f6357b
2026-07-08 14:55:31,110.198,368.3,213.246,78538,10068.0,,,780.1,40585.45,cash_unknown,cash_tight,False,390.558,True,d28f3543-d5b6-47f1-b258-8b7fc5151da8
